,expId,Compound,tempNLSDf
49,2,ABT-737,363.8527<>396.3395<>433.0032<>475.2361<>509.5793<>540.2098<>585.2273<>602.863<>653.9138<>688.7211<>714.2465<>735.1309<>773.1869<>757.4075<>754.1589<>738.3796<>732.8104<>752.7666<>745.341<>732.3463<>788.9662<>806.6019<>819.1326<>897.5651<>833.0555
50,2,YM201636,267.3203<>255.7179<>276.1382<>290.5252<>310.4814<>320.6916<>336.935<>351.7861<>356.4271<>367.1013<>374.5269<>379.632<>389.378<>426.9699<>423.2572<>433.4673<>431.1468<>424.1854<>439.5006<>436.2519<>452.9594<>451.103<>454.8158<>455.744<>445.998
51,2,Nintedanib (BIBF 1120),315.5865<>317.907<>342.0401<>355.963<>368.0295<>387.9857<>402.3728<>416.7598<>419.5444<>425.5777<>430.6827<>414.9034<>395.8754<>366.1731<>323.0121<>301.1995<>283.5638<>270.569<>270.569<>259.8947<>272.4254<>269.1767<>278.9228<>256.182<>306.3045
52,2,Raloxifene HCl,268.7126<>271.4972<>310.0173<>338.3273<>363.3885<>387.0575<>409.7983<>431.6109<>463.1696<>502.1538<>518.3972<>579.6581<>586.1555<>565.7352<>568.9839<>546.7072<>536.9611<>546.7072<>565.2711<>538.3534<>540.2098<>558.3096<>588.0119<>633.4935<>639.0626
53,2,Dasatinib,256.182<>275.6741<>294.238<>307.6968<>316.9788<>340.1837<>317.4429<>299.8072<>285.8842<>270.1049<>251.0769<>219.5182<>186.1032<>122.0577<>84.4658<>64.50959<>45.48158<>40.37651<>35.27143<>36.19963<>32.95094<>32.95094<>33.87914<>32.48684<>33.41504
54,2,Vincristine,241.7949<>225.0874<>227.4079<>221.3746<>219.5182<>203.7389<>209.7722<>202.8107<>199.562<>182.8545<>168.4675<>154.5446<>143.8703<>136.9088<>129.0192<>115.0962<>99.31693<>94.67594<>91.89136<>87.25038<>81.68121<>78.43253<>74.71974<>74.71974<>65.90189
55,2,Nilotinib (AMN-107),230.1925<>232.0489<>251.0769<>270.569<>288.2047<>302.1277<>310.0173<>314.1942<>324.4043<>332.294<>335.0786<>326.2607<>333.6863<>316.9788<>316.9788<>293.7739<>277.9946<>259.4307<>249.6846<>244.1154<>240.8667<>231.5848<>225.5515<>233.4412<>226.0156
56,2,Entecavir Hydrate,274.7459<>307.6968<>347.6092<>360.604<>392.1626<>394.9472<>436.2519<>449.7107<>486.8386<>525.8228<>552.7404<>610.7527<>659.4829<>653.4496<>648.8087<>643.7036<>663.6598<>694.7543<>685.0083<>712.3901<>708.6773<>721.2079<>756.0153<>838.1606<>843.7297
57,2,Sunitinib Malate,293.3098<>280.7791<>282.1714<>275.21<>279.3869<>254.7897<>229.7284<>224.6233<>221.3746<>206.5235<>188.4237<>188.8878<>178.6776<>170.788<>152.2241<>143.4062<>135.5166<>125.3064<>115.5603<>103.4938<>93.74775<>87.71448<>71.93516<>66.36598<>47.80207
58,2,Avagacestat (BMS-708163),245.0436<>248.7564<>290.0611<>310.0173<>341.1118<>354.5707<>390.3062<>419.0803<>449.7107<>487.3026<>514.6844<>545.3149<>576.4094<>576.4094<>575.4813<>582.4427<>593.1169<>571.7684<>595.9016<>582.9068<>597.7579<>623.2833<>636.7421<>728.6335<>719.8156
59,2,Elesclomol (STA-4783),256.182<>258.9666<>291.9175<>323.9402<>341.576<>359.2117<>380.0961<>410.7265<>433.9314<>470.131<>507.723<>550.884<>578.2658<>575.0172<>562.4865<>565.2711<>552.7404<>580.5863<>585.2273<>576.8735<>587.0837<>623.2833<>641.3831<>734.6667<>714.2465
60,2,Altretamine,300.2713<>308.625<>326.7248<>375.4551<>393.5549<>438.1083<>457.1363<>482.6617<>497.5128<>523.0382<>547.6354<>570.3762<>582.9068<>562.4865<>552.2764<>507.723<>502.1538<>488.2309<>503.5461<>489.1591<>491.9436<>492.4077<>519.7895<>538.8175<>527.6791
61,2,GDC-0941,311.8737<>310.9455<>310.0173<>321.6198<>311.8737<>299.8072<>318.8352<>318.8352<>303.5199<>303.984<>308.1609<>284.4919<>277.9946<>289.597<>281.2433<>275.21<>268.2485<>245.5077<>252.4692<>236.6899<>233.9053<>226.9438<>219.0542<>192.6006<>199.562
62,2,Bumetanide,279.3869<>303.984<>339.7196<>369.4218<>389.378<>430.2186<>465.4901<>507.723<>522.11<>553.2045<>598.222<>616.3218<>639.5267<>620.4987<>626.0679<>616.3218<>611.6808<>640.919<>620.4987<>645.0959<>637.6703<>683.616<>689.6493<>840.017<>820.5248
63,2,SB216763,270.1049<>298.879<>340.1837<>366.1731<>391.6985<>420.0085<>449.2466<>459.4568<>486.8386<>510.9716<>523.0382<>532.7842<>553.2045<>597.7579<>585.2273<>602.3989<>615.3936<>589.8683<>626.9961<>626.0679<>636.278<>644.6318<>672.0135<>673.8699<>690.5775
64,2,FT-207 (NSC 148958),321.1557<>366.1731<>407.9419<>439.9647<>479.8771<>499.8333<>535.1047<>560.6301<>588.476<>618.6423<>666.9085<>675.2623<>690.5775<>717.4952<>727.2412<>749.0538<>747.6615<>714.2465<>735.1309<>762.9767<>793.6072<>787.5739<>842.8016<>890.6036<>858.1168
65,2,Iniparib (BSI-201),239.0103<>276.6023<>305.3763<>323.9402<>347.6092<>398.66<>426.0417<>446.9261<>481.7335<>504.9384<>541.6021<>588.9401<>621.891<>634.8857<>639.0626<>634.8857<>624.6756<>675.2623<>657.6265<>666.4444<>691.9698<>681.7596<>722.6002<>860.4373<>854.8681
66,2,Dexamethasone (DHAP),243.1872<>270.1049<>309.5532<>321.1557<>353.6425<>395.4113<>422.329<>444.6057<>492.8718<>535.1047<>572.2325<>608.8963<>648.3446<>633.0294<>636.7421<>693.8262<>707.285<>730.954<>753.6948<>781.5406<>757.8716<>838.6247<>868.791<>974.6053<>907.7752
67,2,Quisinostat (JNJ-26481585),264.5357<>297.9508<>325.3326<>331.3658<>313.7301<>281.7073<>259.8947<>231.1207<>187.9596<>132.2679<>94.67594<>60.79681<>34.34324<>21.3485<>13.45884<>8.817858<>5.105075<>2.784587<>2.320489<>0.4640978<>0.9281955<>0.4640978<>0<>0<>0
68,2,Fluoxetine HCl,326.7248<>350.8579<>389.378<>432.5391<>456.2081<>460.8491<>517.0049<>536.497<>570.8403<>601.9348<>618.6423<>643.2395<>672.9418<>698.9312<>722.1361<>728.1694<>722.6002<>704.0363<>704.9645<>736.9872<>769.9382<>787.5739<>839.0887<>856.2604<>904.0624
69,2,LY294002,304.9122<>328.5812<>381.9525<>413.9752<>436.2519<>487.3026<>513.7562<>533.7125<>555.0609<>577.3376<>589.8683<>626.532<>632.1011<>596.8297<>579.194<>587.0837<>578.2658<>572.2325<>602.863<>597.7579<>607.0399<>632.5652<>658.0906<>723.5284<>729.5617
