,expId,Compound,tempConfluenceDf
59,2,Elesclomol (STA-4783),37.06683<>39.03756<>44.97044<>50.54541<>54.86593<>58.74273<>61.78031<>67.05763<>72.19945<>77.68567<>83.6363<>90.1396<>91.69988<>92.05093<>92.45869<>92.48425<>93.7942<>95.37204<>95.51123<>96.23756<>96.52208<>97.53612<>97.65735<>99.17722<>98.64729
60,2,Altretamine,37.86409<>40.86691<>45.60966<>50.5537<>55.54859<>62.7352<>67.9322<>75.6319<>82.17921<>86.73878<>89.27442<>92.77305<>93.73016<>94.69764<>94.21259<>92.71255<>92.55401<>92.17768<>94.02008<>94.11224<>93.35709<>94.29694<>94.80188<>95.11224<>95.37998
61,2,GDC-0941,40.2906<>37.44342<>36.51484<>37.31535<>37.60811<>36.04512<>37.94809<>38.6003<>38.27994<>38.43957<>38.81734<>38.36718<>38.52591<>40.80037<>40.69628<>40.69808<>40.26719<>38.71705<>39.75608<>38.92607<>38.85486<>38.6517<>38.72126<>36.77118<>37.67192
62,2,Bumetanide,38.46256<>41.1631<>48.14751<>52.91964<>58.14543<>65.24971<>70.43802<>75.72385<>81.06606<>87.60416<>90.43517<>94.39109<>95.69856<>92.94256<>92.35336<>93.29126<>93.62006<>95.6826<>94.50112<>94.65579<>95.2122<>97.0175<>97.25236<>99.02616<>98.37808
63,2,SB216763,39.62967<>40.53182<>43.97732<>47.48943<>50.77606<>55.63024<>60.26723<>64.79353<>70.53024<>77.78506<>81.55041<>84.63527<>89.06692<>91.91989<>93.69501<>95.33515<>95.57781<>94.67499<>96.6773<>96.81773<>96.10804<>96.89171<>97.40957<>97.4173<>97.6827
64,2,FT-207 (NSC 148958),45.85446<>47.69873<>53.75153<>60.15066<>66.84316<>71.12054<>79.66283<>82.11974<>89.03011<>94.27531<>95.81295<>97.01585<>97.29173<>98.10497<>97.83308<>98.24684<>98.0964<>98.576<>99.08253<>99.30985<>99.43895<>99.69466<>99.64101<>99.86273<>99.9055
65,2,Iniparib (BSI-201),34.81479<>35.88519<>40.70954<>45.82374<>50.87465<>58.35828<>62.6349<>66.77428<>72.08911<>80.19141<>86.41536<>92.34996<>92.12436<>93.79883<>94.46389<>96.20945<>96.37094<>98.2916<>98.06696<>98.22143<>98.70683<>99.00813<>99.6571<>99.87917<>99.85155
66,2,Dexamethasone (DHAP),37.37366<>41.65659<>47.7653<>53.55011<>59.45884<>66.68157<>71.02004<>72.72275<>77.74474<>86.21684<>86.55952<>92.88219<>95.14125<>96.08401<>95.61463<>97.29449<>97.66853<>98.98299<>98.6957<>98.91557<>99.39082<>99.42424<>99.68307<>99.9457<>99.91048
67,2,Quisinostat (JNJ-26481585),38.63104<>41.26208<>44.34635<>47.20227<>48.7149<>51.27016<>49.02278<>40.83809<>34.44904<>30.46488<>26.40279<>23.69253<>22.23813<>21.86105<>21.45405<>20.57955<>20.90835<>19.61627<>20.5113<>20.22685<>20.61581<>19.96021<>19.84168<>20.71459<>19.48621
68,2,Fluoxetine HCl,46.77118<>48.07416<>53.77409<>60.07779<>64.66795<>64.56805<>72.90838<>77.25172<>83.55334<>87.63752<>91.98468<>93.24933<>96.05699<>97.31355<>98.02028<>97.99091<>98.33954<>98.59975<>98.97207<>99.21619<>99.36463<>99.66484<>99.79677<>99.58961<>99.75166
