,expId,Compound,tempConfluenceDf
50,3,YM201636,26.93149<>28.84637<>32.18467<>35.90904<>40.46751<>46.22265<>51.05175<>55.38758<>59.82205<>62.98085<>66.08731<>68.51112<>73.53185<>76.54736<>79.63666<>82.45081<>85.1347<>87.65147<>90.13248<>92.89228<>95.36526<>97.04008<>98.20015<>99.07121<>99.44807
51,3,Nintedanib (BIBF 1120),29.04799<>31.6983<>35.33219<>37.00453<>40.24569<>42.99547<>44.49796<>46.15591<>47.40751<>47.63712<>48.91103<>50.24073<>51.97922<>52.18632<>55.78153<>56.92906<>61.38829<>65.27602<>66.15025<>71.35223<>74.70088<>77.03596<>82.94865<>83.47038<>87.64104
52,3,Raloxifene HCl,40.42765<>43.26088<>47.91666<>56.96964<>66.29061<>72.96004<>79.27511<>87.32108<>94.24458<>97.75336<>98.77286<>99.17502<>99.73819<>99.90688<>99.96932<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
53,3,Dasatinib,31.28281<>32.34471<>33.53391<>35.40443<>35.92257<>36.16808<>36.25351<>36.46289<>36.76268<>37.6479<>37.48094<>37.91467<>38.68548<>38.17093<>38.12361<>38.36946<>39.00766<>39.85571<>40.30787<>39.88015<>39.77495<>39.92628<>40.76059<>40.93833<>41.4926
54,3,Vincristine,39.99598<>45.90516<>47.5324<>42.00293<>36.65734<>32.57611<>30.51537<>32.27964<>37.51056<>41.50784<>46.34069<>47.76926<>51.87091<>52.79634<>50.94764<>50.79782<>50.83617<>48.19808<>48.80367<>48.54449<>47.63691<>47.0354<>47.80917<>47.67704<>47.6506
55,3,Nilotinib (AMN-107),43.21667<>44.71816<>49.74228<>56.33837<>62.06213<>67.64996<>74.52227<>80.54183<>86.56865<>92.52991<>94.03106<>97.6769<>99.47771<>99.68307<>99.5941<>99.72832<>99.77446<>99.87138<>100<>100<>100<>100<>100<>100<>100
56,3,Entecavir Hydrate,32.69037<>34.40497<>38.72879<>46.5451<>53.63705<>59.58055<>66.34952<>71.57112<>80.41708<>84.18951<>90.54438<>95.61214<>98.52542<>99.41292<>99.65739<>99.92491<>99.97823<>100<>100<>100<>100<>100<>100<>100<>100
57,3,Sunitinib Malate,33.59159<>35.11784<>40.41659<>44.91842<>48.45787<>51.17794<>53.1967<>56.55814<>57.65299<>58.29595<>58.71078<>60.53541<>62.32289<>62.22107<>64.17902<>64.37366<>67.31039<>73.04707<>71.99271<>74.54402<>75.4787<>74.44573<>79.94611<>82.2746<>83.82522
58,3,Avagacestat (BMS-708163),31.2484<>36.4678<>41.65983<>45.68529<>52.55704<>59.37791<>64.22878<>70.50401<>77.67117<>82.12941<>89.22427<>93.20719<>97.56638<>98.62185<>99.90598<>99.86488<>100<>100<>100<>100<>100<>100<>100<>100<>100
59,3,Elesclomol (STA-4783),35.28557<>40.22898<>44.78558<>52.24695<>51.12699<>59.09212<>58.90767<>66.20571<>69.67278<>75.03737<>79.2655<>83.93414<>89.36795<>92.97965<>94.83372<>97.19095<>99.16486<>99.53201<>99.80431<>99.89555<>99.8684<>99.87683<>99.91233<>99.96056<>99.97844
60,3,Altretamine,33.05088<>37.18964<>43.43079<>48.77044<>54.61496<>62.356<>67.84974<>75.3413<>80.15112<>84.82703<>90.35118<>94.50499<>97.5192<>98.96088<>99.68342<>99.86122<>99.9761<>100<>100<>100<>100<>100<>100<>100<>100
61,3,GDC-0941,39.0828<>36.11462<>35.43641<>35.64053<>37.40986<>39.24224<>40.51896<>41.35865<>41.83115<>42.71531<>43.81244<>44.73288<>46.77946<>47.59366<>48.56004<>49.66256<>51.76793<>53.01447<>54.48276<>55.43663<>55.258<>55.97585<>56.71481<>57.51982<>57.9255
62,3,Bumetanide,40.31671<>41.85297<>50.90104<>56.78299<>63.16122<>74.93127<>80.85625<>86.07275<>90.92789<>96.31023<>98.41103<>99.813<>99.84422<>99.94189<>99.97424<>99.97976<>100<>100<>100<>100<>100<>100<>100<>100<>100
63,3,SB216763,37.47568<>39.85335<>45.03722<>49.61193<>54.42534<>61.88998<>66.9509<>71.16048<>79.56371<>86.91153<>90.9826<>95.48905<>98.64838<>99.6303<>99.74082<>99.95571<>99.98135<>99.97091<>100<>100<>100<>100<>100<>100<>100
