,expId,Compound,tempSytoxDf
48,3,STF-118804,4.17688<>4.640978<>3.248684<>1.856391<>0.4640978<>0.4640978<>1.392293<>8.35376<>8.817858<>14.38703<>13.92293<>19.9562<>24.13308<>28.77406<>40.37651<>73.79154<>101.6374<>135.0524<>160.5778<>188.4237<>223.6951<>264.9998<>305.3763<>352.7143<>379.632
49,3,ABT-737,4.640978<>4.640978<>4.640978<>3.248684<>2.320489<>3.712782<>3.248684<>3.248684<>6.961466<>12.06654<>18.56391<>21.8126<>29.70226<>34.80733<>63.1173<>96.99644<>148.9754<>215.3414<>345.2887<>493.8<>690.1134<>840.9451<>1040.043<>1212.223<>1406.216
50,3,YM201636,5.569173<>7.889662<>9.746053<>6.033271<>6.961466<>8.35376<>5.569173<>7.425564<>9.746053<>10.67425<>10.67425<>12.99474<>18.09981<>17.63572<>19.9562<>20.8844<>26.45357<>27.84587<>32.48684<>37.59192<>45.94568<>58.94042<>67.29417<>84.4658<>96.06824
51,3,Nintedanib (BIBF 1120),4.640978<>155.0087<>206.5235<>198.6339<>198.1698<>195.8493<>172.1803<>130.8756<>104.422<>75.64793<>63.58139<>61.725<>73.79154<>80.28892<>88.17857<>89.57087<>88.17857<>87.25038<>84.92989<>80.75301<>70.54286<>55.69173<>39.44831<>38.52011<>32.48684
52,3,Raloxifene HCl,5.105075<>5.569173<>3.712782<>3.248684<>4.640978<>5.105075<>5.569173<>12.53064<>11.60244<>7.889662<>5.569173<>8.35376<>10.21015<>9.746053<>13.45884<>30.63045<>39.91241<>52.44305<>95.60414<>158.2573<>223.231<>261.7511<>326.2607<>375.9192<>420.9367
53,3,Dasatinib,6.961466<>6.033271<>4.640978<>3.712782<>6.033271<>14.85113<>24.13308<>36.19963<>55.69173<>80.28892<>120.6654<>168.4675<>231.1207<>266.8562<>312.8019<>372.6705<>392.6267<>384.2729<>336.0068<>283.5638<>238.0822<>193.5288<>157.3291<>116.4885<>84.00169
54,3,Vincristine,7.425564<>11.13835<>13.45884<>7.425564<>6.497369<>21.3485<>40.8406<>78.43253<>116.0244<>170.788<>193.9929<>216.2696<>228.3361<>208.3799<>215.3414<>196.7775<>206.5235<>211.6286<>208.844<>193.0647<>189.3519<>193.0647<>206.0594<>221.3746<>209.3081
55,3,Nilotinib (AMN-107),10.21015<>11.13835<>11.13835<>10.67425<>9.746053<>11.13835<>9.281956<>9.746053<>9.746053<>12.06654<>12.53064<>16.24342<>15.31523<>21.8126<>32.48684<>43.16109<>62.1891<>80.28892<>109.9912<>156.401<>175.429<>188.4237<>197.7056<>229.7284<>261.7511
56,3,Entecavir Hydrate,2.784587<>6.033271<>5.569173<>4.640978<>2.320489<>1.856391<>2.784587<>3.248684<>5.105075<>5.105075<>5.105075<>10.67425<>13.45884<>18.56391<>20.4203<>17.17162<>26.91767<>41.3047<>56.61993<>73.79154<>117.8808<>153.1523<>200.0261<>252.0051<>287.2765
57,3,Sunitinib Malate,128.5551<>79.82481<>103.0297<>116.4885<>129.9474<>179.1417<>199.0979<>189.3519<>210.7004<>221.8387<>235.7617<>338.3273<>363.8527<>342.5042<>301.1995<>288.2047<>364.7809<>365.709<>358.7476<>350.3938<>325.7966<>301.6635<>314.6583<>340.1837<>355.4989
58,3,Avagacestat (BMS-708163),2.784587<>2.320489<>2.784587<>2.784587<>2.320489<>2.320489<>3.712782<>3.712782<>5.105075<>6.961466<>9.281956<>12.53064<>18.56391<>17.17162<>31.55865<>41.7688<>60.79681<>82.1453<>107.2066<>120.2013<>150.3677<>186.1032<>220.9105<>263.1434<>298.879
59,3,Elesclomol (STA-4783),8.817858<>8.817858<>6.961466<>6.033271<>3.712782<>6.497369<>9.746053<>14.38703<>18.09981<>21.8126<>22.27669<>35.27143<>46.87387<>60.33271<>51.97895<>60.79681<>85.85809<>89.57087<>107.2066<>126.6987<>134.5883<>143.8703<>150.3677<>159.1855<>167.5393
60,3,Altretamine,7.889662<>7.425564<>5.105075<>1.392293<>1.392293<>5.569173<>2.784587<>3.712782<>3.712782<>6.033271<>7.889662<>11.60244<>13.92293<>22.74079<>39.91241<>51.97895<>66.36598<>93.28365<>135.0524<>155.4727<>188.4237<>250.6128<>311.8737<>391.2344<>459.9209
61,3,GDC-0941,8.35376<>8.35376<>10.21015<>12.06654<>15.31523<>24.13308<>29.70226<>27.38177<>32.02275<>32.48684<>32.48684<>37.59192<>40.8406<>43.16109<>39.44831<>32.48684<>35.73553<>33.87914<>31.55865<>33.41504<>36.66372<>41.7688<>49.19436<>61.26091<>67.29417
62,3,Bumetanide,2.320489<>4.17688<>5.105075<>5.569173<>5.105075<>3.712782<>4.17688<>6.497369<>6.497369<>7.889662<>7.425564<>9.746053<>10.67425<>16.70752<>14.38703<>19.49211<>38.98421<>64.97369<>90.49906<>127.6269<>169.3957<>216.2696<>250.6128<>275.21<>306.7686
63,3,SB216763,17.63572<>10.21015<>10.67425<>7.425564<>6.033271<>10.21015<>8.817858<>7.425564<>8.35376<>7.889662<>10.21015<>17.63572<>25.98948<>25.06128<>32.48684<>47.80207<>83.5376<>122.9859<>163.8265<>222.3028<>259.8947<>326.2607<>382.8806<>442.7493<>465.9542
64,3,FT-207 (NSC 148958),7.889662<>9.281956<>5.569173<>6.033271<>6.497369<>6.961466<>6.497369<>6.033271<>6.033271<>10.21015<>15.31523<>13.45884<>12.06654<>16.70752<>24.59718<>32.02275<>46.40978<>63.58139<>83.0735<>119.7372<>164.2906<>200.0261<>254.3256<>283.5638<>318.8352
65,3,Iniparib (BSI-201),3.712782<>3.712782<>4.640978<>2.784587<>3.712782<>3.712782<>3.248684<>5.569173<>3.712782<>4.640978<>6.961466<>9.746053<>16.24342<>16.24342<>28.30996<>33.41504<>54.29944<>71.00696<>96.99644<>142.9421<>159.6496<>213.485<>222.7669<>256.6461<>285.4201
66,3,Dexamethasone (DHAP),2.784587<>5.105075<>6.961466<>6.961466<>5.105075<>6.497369<>5.569173<>5.105075<>7.889662<>7.425564<>8.35376<>5.105075<>6.033271<>7.425564<>8.817858<>7.889662<>19.49211<>26.45357<>32.48684<>37.59192<>55.22763<>69.61466<>84.4658<>92.81956<>103.4938
67,3,Quisinostat (JNJ-26481585),2.320489<>6.497369<>4.640978<>3.712782<>6.961466<>23.66899<>28.30996<>38.98421<>53.83534<>91.42726<>130.8756<>172.6444<>221.3746<>244.5795<>257.1102<>287.2765<>301.1995<>298.879<>284.0278<>267.7844<>235.7617<>191.2083<>147.5831<>126.2346<>90.96317
68,3,Fluoxetine HCl,1.392293<>1.856391<>0.9281955<>3.248684<>1.392293<>0.4640978<>1.856391<>5.105075<>7.425564<>7.889662<>9.746053<>11.13835<>17.63572<>15.31523<>23.66899<>26.91767<>30.16636<>37.59192<>58.94042<>84.4658<>120.2013<>150.8318<>177.2854<>216.2696<>246.9
